Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"5,011","5,140","4,369","4,505","5,534","6,208","5,237","5,269","6,528","6,574","6,123","6,864","7,587"
Expenses+,"3,755","3,634","3,223","3,403","3,903","4,124","3,776","3,882","4,402","4,485","4,107","5,048","5,033"
Operating Profit,"1,256","1,505","1,146","1,102","1,630","2,084","1,461","1,388","2,126","2,088","2,016","1,816","2,554"
OPM %,25%,29%,26%,24%,29%,34%,28%,26%,33%,32%,33%,26%,34%
Other Income+,-566,21,53,60,160,63,68,57,-139,155,75,26,-263
Interest,28,18,9,20,35,32,25,32,77,85,101,130,123
Depreciation,179,180,184,195,205,215,234,229,238,238,302,360,508
Profit before tax,484,"1,328","1,006",947,"1,550","1,900","1,271","1,184","1,672","1,921","1,687","1,353","1,660"
Tax %,28%,16%,22%,23%,21%,23%,29%,15%,25%,23%,27%,29%,19%
Net Profit+,358,"1,134",803,790,"1,246","1,482",920,"1,026","1,244","1,521","1,239","1,023","1,341"
EPS in Rs,2.93,10.74,7.91,7.80,11.75,14.11,9.06,10.17,11.64,14.58,12.51,10.36,12.65
Raw PDF,,,,,,,,,,,,,
